matrix_id	dimension	current_ns	gosper_byte_ns	adaptive_ns	gosper_change_percent	adaptive_change_percent
48	15	87177235	87484851.400000006	87548134.799999997	0.352863	0.425455
49	16	383354.56963162625	399055.24160447763	386417.61956521741	4.095601	0.799012
50	18	98010665.400000006	98211698.599999994	97792015.400000006	0.205114	-0.223088
51	20	4230606.9504950494	1435937.7474747475	1345955.7492163009	-66.058351	-68.185280
52	21	812948011	820668383	821232528.5	0.949676	1.019071
53	23	66338933.666666664	70855356	44429446.399999999	6.808102	-33.026589
54	24	291575129.5	303115460	249067099.5	3.957927	-14.578757
