matrix_id	dimension	current_ns	candidate_scan_ns	change_percent
48	15	87883392.200000003	88188267.200000003	0.34690900
49	16	385335.15985467756	236275.75303197355	-38.68310000
50	18	97922225.25	99356589	1.46480000
51	20	4327886.1632653065	1429329.2871621621	-66.97400000
52	21	818716868	825378322.5	0.81364600
53	23	67010142.333333336	45545607.899999999	-32.03180000
54	24	293720196	257032921.5	-12.49060000
55	20	425792968	427308800.5	0.35600200
