matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,multiplier,is_ess,reason_ess,payoff,payoff_double
19,3,"1/4,1/4,0,0,0,0,1/4,1/4,0,0,0,0",195,4,4095,12,6,False,F_not_copos,150,150.0
19,4,"1/4,0,0,1/4,0,0,1/4,0,0,1/4,0,0",585,4,4095,12,3,False,F_not_copos,150,150.0
19,5,"1231/59793,0,0,5000/19931,27331/59793,5000/19931,0,0,1231/59793,0,0,0",313,5,1405,8,12,False,F_not_part_copos,2993100/19931,150.173097
19,6,"1/6,1/4,0,0,1/6,0,0,1/4,1/6,0,0,0",403,5,4095,12,12,False,F_not_part_copos,150,150.0
19,7,"1/6,1/6,0,0,1/6,1/6,0,0,1/6,1/6,0,0",819,6,4095,12,4,False,F_not_part_copos,150,150.0
20,1,"1/2,1/2,0,0,0,0,0,0,0,0,0,0",3,2,2043,10,12,False,F_not_copos,146,146.0
20,2,"1/2,0,0,1/2,0,0,0,0,0,0,0,0",9,2,9,2,12,True,T_pd_dbl,293/2,146.5
20,3,"1/2,0,0,0,0,1/2,0,0,0,0,0,0",33,2,33,2,12,True,T_pd_dbl,293/2,146.5
21,1,"1001845/7477874,1368546/3738937,1368546/3738937,1001845/7477874,0,0,0,0,0,0,0,0",15,4,15,4,12,True,T_pd_dbl,63948157731025/7477874,8551649.537158
21,2,"13118561637446447517/62077646124396195470,28266550468086590183/62077646124396195470,1792026853878647271/6207764612439619547,0,0,277226548007668506/6207764612439619547,0,0,0,0,0,0",39,4,39,4,24,True,T_pd_dbl,106173255263225111871797151/12415529224879239094,8551649.578535
21,3,"1723921/8157682,1177460/4078841,0,0,1177460/4078841,1723921/8157682,0,0,0,0,0,0",51,4,51,4,12,True,T_pd_dbl,34880818551134/4078841,8551649.488454
21,4,"662003352975/2648012965846,1235314898071/2648012965846,662003352975/2648012965846,0,0,0,0,88691361825/2648012965846,0,0,0,0",135,4,135,4,12,True,T_pd_dbl,22644878994851056875/2648012965846,8551649.590438
21,5,"15917399760517186125/47752195321923855704,9415242544335901473/23876097660961927852,0,0,994837383786938219/5969024415240481963,0,0,5045611402439360881/47752195321923855704,0,0,0,0",147,4,147,4,24,True,T_pd_dbl,204180021242068674553558487/23876097660961927852,8551649.609639
21,6,"5081155/48088574,0,0,9481566/24044287,9481566/24044287,0,0,5081155/48088574,0,0,0,0",153,4,153,4,12,True,T_pd_dbl,205618317853850/24044287,8551649.622792
21,7,"1/4,1/4,0,0,0,0,1/4,1/4,0,0,0,0",195,4,195,4,6,True,T_pd_dbl,17103299/2,8551649.5
21,8,"1/4,0,0,1/4,0,0,1/4,0,0,1/4,0,0",585,4,585,4,3,True,T_pd_dbl,34206599/4,8551649.75
22,1,"203/2230,222/1115,0,321/1115,41/223,0,531/2230,0,0,0,0,0,0",91,5,91,5,26,True,T_pd_dbl,12037/1115,10.795516
22,2,"3/20,3/20,0,2/5,0,3/20,3/20,0,0,0,0,0,0",107,5,107,5,13,True,T_pd_dbl,54/5,10.8
22,3,"58/1335,913/5340,0,587/1780,0,1589/5340,0,169/1068,0,0,0,0,0",171,5,171,5,26,True,T_pd_dbl,28831/2670,10.798127
22,4,"41/223,0,222/1115,531/2230,0,321/1115,0,203/2230,0,0,0,0,0",173,5,173,5,26,True,T_pd_dbl,12037/1115,10.795516
22,5,"58/631,0,157/631,0,201/631,0,157/631,0,58/631,0,0,0,0",341,5,341,5,13,True,T_pd_dbl,6812/631,10.795563
22,6,"169/1068,0,0,1589/5340,58/1335,0,587/1780,0,0,913/5340,0,0,0",601,5,601,5,26,True,T_pd_dbl,28831/2670,10.798127
22,7,"58/631,58/631,0,0,157/631,0,0,201/631,0,0,157/631,0,0",1171,5,1171,5,13,True,T_pd_dbl,6812/631,10.795563
23,1,"7/66,8/33,10/33,8/33,7/66,0,0,0,0,0,0,0,0,0",31,5,31,5,14,True,T_pd_dbl,85/33,2.575758
23,2,"8/33,10/33,8/33,7/66,0,0,7/66,0,0,0,0,0,0,0",79,5,79,5,28,True,T_pd_dbl,85/33,2.575758
23,3,"10/33,8/33,7/66,0,0,7/66,8/33,0,0,0,0,0,0,0",103,5,103,5,28,True,T_pd_dbl,85/33,2.575758
23,4,"7/66,0,10/33,8/33,7/66,0,0,0,8/33,0,0,0,0,0",285,5,285,5,28,True,T_pd_dbl,85/33,2.575758
23,5,"8/33,0,8/33,7/66,0,0,7/66,0,10/33,0,0,0,0,0",333,5,333,5,28,True,T_pd_dbl,85/33,2.575758
23,6,"7/66,8/33,0,8/33,7/66,0,0,0,0,10/33,0,0,0,0",539,5,539,5,14,True,T_pd_dbl,85/33,2.575758
23,7,"8/33,10/33,0,7/66,0,0,7/66,0,0,8/33,0,0,0,0",587,5,587,5,28,True,T_pd_dbl,85/33,2.575758
23,8,"10/33,8/33,0,0,0,7/66,8/33,0,0,7/66,0,0,0,0",611,5,611,5,28,True,T_pd_dbl,85/33,2.575758
23,9,"8/33,10/33,8/33,0,0,0,7/66,0,0,0,7/66,0,0,0",1095,5,1095,5,14,True,T_pd_dbl,85/33,2.575758
